[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/font-awesome/css/svg-with-js.css
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.css
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.css
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/font-awesome/js/regular.js
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/font-awesome/js/solid.js
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min.js
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.js
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/font-awesome/js/brands.js
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/font-awesome/json/solid.json
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/font-awesome/json/regular.json
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/font-awesome/json/brands.json
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.ttf
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.svg
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.woff2
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.eot
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.svg
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.woff
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.eot
